model,frequency,horizon,model_type,predictors,estimator,monthly_ids,weekly_ids,daily_ids,regressors,description
Avg_MIDAS,daily,1 month,ensemble,ensemble of MIDAS_all + MIDAS_daily,PSO + Nelder-Mead weighted mean of member holdout forecasts (WAPE-optimal),,,,"MIDAS_all=1.000, MIDAS_daily=0.000","Weighted mean of MIDAS members (MIDAS_all, MIDAS_daily) on native daily frequency. Weights from PSO then Nelder-Mead polish to minimize holdout WAPE."
Avg_ex_prophet,daily,1 month,ensemble,ensemble of MIDAS_all + MIDAS_daily + ProphetX,PSO + Nelder-Mead weighted mean of member holdout forecasts (WAPE-optimal),,,,"MIDAS_all=0.000, MIDAS_daily=0.000, ProphetX=1.000","Weighted mean of all models except univariate prophet (MIDAS_all, MIDAS_daily, ProphetX) on native daily frequency. Weights from PSO then Nelder-Mead polish to minimize holdout WAPE."
MIDAS_all,daily,1 month,midas,monthly+weekly+daily,StandardScaler + MultiOutputRegressor(RidgeCV),"GT_visine_us, GT_pollen_allergy_us, GT_eczema_us, GT_eye_drops_us, GT_retinol_us, GT_seasonal_allergies_us","GT_food_allergy_us_nv, GT_allergy_eyes_us, GT_itchy_eyes_us, GT_seasonal_allergies_us","GT_itchy_eyes_us, GT_allergy_eyes_us, GT_allergy_eye_drops_us, GT_eye_drops_us",,U-MIDAS / Almon path model for native daily frequency; predictors=monthly+weekly+daily (incl. Google Trends GT_*); variables selected by out-of-sample endpoint forecast MAE; direct multi-output horizon of 30 periods (1 month).
MIDAS_daily,daily,1 month,midas,daily,StandardScaler + MultiOutputRegressor(RidgeCV),,,"GT_itchy_eyes_us, GT_allergy_eyes_us, GT_allergy_eye_drops_us, GT_eye_drops_us",,U-MIDAS / Almon path model for native daily frequency; predictors=daily (incl. Google Trends GT_*); variables selected by out-of-sample endpoint forecast MAE; direct multi-output horizon of 30 periods (1 month).
ProphetX,daily,1 month,prophetx,"x_NDQ, gt_itchy_eyes_us, gt_mineral_sunscreen_us, x_DSPI, gt_eczema_us_ca, gt_allergy_eyes_us",Prophet + contemporaneous regressors; multi-step path uses univariate X forecasts from artifacts/exog_forecasts (fallback: freeze),,,,"x_NDQ, gt_itchy_eyes_us, gt_mineral_sunscreen_us, x_DSPI, gt_eczema_us_ca, gt_allergy_eyes_us",ProphetX on native daily frequency with 6 contemporaneous regressors (y_t ~ X_t). Holdout/future use forecasted X under I_T (exogenous forecast pipeline); horizon=1 month.
prophet,daily,1 month,prophet,"{'daily': False, 'weekly': True, 'yearly': True}",Prophet,,,,,"Additive Prophet on native daily frequency; yearly=True, weekly=True, daily=False."
Avg_MIDAS,monthly,1 year,ensemble,ensemble of MIDAS_all + MIDAS_monthly,PSO + Nelder-Mead weighted mean of member holdout forecasts (WAPE-optimal),,,,"MIDAS_all=0.000, MIDAS_monthly=1.000","Weighted mean of MIDAS members (MIDAS_all, MIDAS_monthly) on native monthly frequency. Weights from PSO then Nelder-Mead polish to minimize holdout WAPE."
Avg_ex_prophet,monthly,1 year,ensemble,ensemble of MIDAS_all + MIDAS_monthly + ProphetX,PSO + Nelder-Mead weighted mean of member holdout forecasts (WAPE-optimal),,,,"MIDAS_all=0.000, MIDAS_monthly=0.857, ProphetX=0.143","Weighted mean of all models except univariate prophet (MIDAS_all, MIDAS_monthly, ProphetX) on native monthly frequency. Weights from PSO then Nelder-Mead polish to minimize holdout WAPE."
MIDAS_all,monthly,1 year,midas,monthly+weekly+daily,StandardScaler + MultiOutputRegressor(RidgeCV),"GT_mineral_sunscreen_us, GT_seasonal_allergies_us, GT_seasonal_allergies_us_ny, GT_pollen_allergy_us, GT_gripe_ar, GT_allergy_eyes_us","GT_seasonal_allergies_us, GT_mineral_sunscreen_us, GT_gripe_ar, GT_gripe_cl","GT_mineral_sunscreen_us, GT_seasonal_allergies_us, GT_seasonal_allergies_us_ny, GT_pollen_allergy_us",,U-MIDAS / Almon path model for native monthly frequency; predictors=monthly+weekly+daily (incl. Google Trends GT_*); variables selected by out-of-sample endpoint forecast MAE; direct multi-output horizon of 12 periods (1 year).
MIDAS_monthly,monthly,1 year,midas,monthly,StandardScaler + MultiOutputRegressor(RidgeCV),"GT_mineral_sunscreen_us, GT_seasonal_allergies_us, GT_seasonal_allergies_us_ny, GT_pollen_allergy_us, GT_gripe_ar, GT_allergy_eyes_us",,,,U-MIDAS / Almon path model for native monthly frequency; predictors=monthly (incl. Google Trends GT_*); variables selected by out-of-sample endpoint forecast MAE; direct multi-output horizon of 12 periods (1 year).
ProphetX,monthly,1 year,prophetx,"gt_allergy_eye_drops_us, gt_allergy_eyes_us, gt_antihistamine_eye_drops_us, gt_seasonal_allergies_us_ny, gt_seasonal_allergies_us, gt_itchy_eyes_us, gt_seasonal_allergies_us_il, gt_seasonal_allergies_us_wa",Prophet + contemporaneous regressors; multi-step path uses univariate X forecasts from artifacts/exog_forecasts (fallback: freeze),,,,"gt_allergy_eye_drops_us, gt_allergy_eyes_us, gt_antihistamine_eye_drops_us, gt_seasonal_allergies_us_ny, gt_seasonal_allergies_us, gt_itchy_eyes_us, gt_seasonal_allergies_us_il, gt_seasonal_allergies_us_wa",ProphetX on native monthly frequency with 8 contemporaneous regressors (y_t ~ X_t). Holdout/future use forecasted X under I_T (exogenous forecast pipeline); horizon=1 year.
prophet,monthly,1 year,prophet,"{'daily': False, 'weekly': False, 'yearly': True}",Prophet,,,,,"Additive Prophet on native monthly frequency; yearly=True, weekly=False, daily=False."
Avg_MIDAS,weekly,3 months,ensemble,ensemble of MIDAS_all + MIDAS_weekly,PSO + Nelder-Mead weighted mean of member holdout forecasts (WAPE-optimal),,,,"MIDAS_all=0.219, MIDAS_weekly=0.781","Weighted mean of MIDAS members (MIDAS_all, MIDAS_weekly) on native weekly frequency. Weights from PSO then Nelder-Mead polish to minimize holdout WAPE."
Avg_ex_prophet,weekly,3 months,ensemble,ensemble of MIDAS_all + MIDAS_weekly + ProphetX,PSO + Nelder-Mead weighted mean of member holdout forecasts (WAPE-optimal),,,,"MIDAS_all=0.000, MIDAS_weekly=0.000, ProphetX=1.000","Weighted mean of all models except univariate prophet (MIDAS_all, MIDAS_weekly, ProphetX) on native weekly frequency. Weights from PSO then Nelder-Mead polish to minimize holdout WAPE."
MIDAS_all,weekly,3 months,midas,monthly+weekly+daily,StandardScaler + MultiOutputRegressor(RidgeCV),"GT_gripe_ar, GT_seasonal_allergies_us, GT_allergy_eye_drops_us, GT_seasonal_allergies_us_ny, GT_mineral_sunscreen_us, GT_gripe_cl","GT_itchy_eyes_us, GT_pollen_allergy_us, GT_allergy_eye_drops_us, GT_seasonal_allergies_us","GT_itchy_eyes_us, GT_mineral_sunscreen_us, GT_allergy_eye_drops_us, GT_allergy_eyes_us",,U-MIDAS / Almon path model for native weekly frequency; predictors=monthly+weekly+daily (incl. Google Trends GT_*); variables selected by out-of-sample endpoint forecast MAE; direct multi-output horizon of 13 periods (3 months).
MIDAS_weekly,weekly,3 months,midas,weekly,StandardScaler + MultiOutputRegressor(RidgeCV),,"GT_itchy_eyes_us, GT_pollen_allergy_us, GT_allergy_eye_drops_us, GT_seasonal_allergies_us",,,U-MIDAS / Almon path model for native weekly frequency; predictors=weekly (incl. Google Trends GT_*); variables selected by out-of-sample endpoint forecast MAE; direct multi-output horizon of 13 periods (3 months).
ProphetX,weekly,3 months,prophetx,"gt_seasonal_allergies_eyes_us, gt_eczema_us, gt_pollen_allergy_us, gt_seasonal_allergies_us_ny, gt_itchy_eyes_us, gt_allergy_eyes_us, gt_eye_drops_us, gt_seasonal_allergies_us_ca",Prophet + contemporaneous regressors; multi-step path uses univariate X forecasts from artifacts/exog_forecasts (fallback: freeze),,,,"gt_seasonal_allergies_eyes_us, gt_eczema_us, gt_pollen_allergy_us, gt_seasonal_allergies_us_ny, gt_itchy_eyes_us, gt_allergy_eyes_us, gt_eye_drops_us, gt_seasonal_allergies_us_ca",ProphetX on native weekly frequency with 8 contemporaneous regressors (y_t ~ X_t). Holdout/future use forecasted X under I_T (exogenous forecast pipeline); horizon=3 months.
prophet,weekly,3 months,prophet,"{'daily': False, 'weekly': False, 'yearly': True}",Prophet,,,,,"Additive Prophet on native weekly frequency; yearly=True, weekly=False, daily=False."
